Input Lat,-33.51
Input Lon,143.41
Input Elev,81.0
Grid Lat,-33.510002
Grid Lon,143.40717
Grid Elev,81.0
Local Date,Local Time,Temp (C),RH (%),Wind Dir,Wind Speed (km/h),Drought Factor,FFDI,GFDI
19 Dec 2021,04:00,23.9,24.2,36,16.0,8.7,17.0,1.0
19 Dec 2021,05:00,23.6,24.4,312,13.0,8.7,15.0,1.0
19 Dec 2021,06:00,22.7,27.3,336,16.0,8.7,14.0,1.0
19 Dec 2021,07:00,23.0,28.2,2,25.0,8.7,17.0,2.0
19 Dec 2021,08:00,25.3,26.0,0,32.0,8.7,24.0,4.0
19 Dec 2021,09:00,27.7,28.0,328,27.0,8.7,21.0,3.0
19 Dec 2021,10:00,28.9,31.9,328,42.0,8.7,28.0,6.0
19 Dec 2021,11:00,29.1,35.1,326,43.0,8.7,26.0,6.0
19 Dec 2021,12:00,29.1,39.0,292,45.0,8.7,24.0,6.0
19 Dec 2021,13:00,29.1,38.2,285,40.0,8.8,22.0,5.0
19 Dec 2021,14:00,30.8,35.8,277,42.0,8.8,27.0,6.0
19 Dec 2021,15:00,31.1,29.9,258,37.0,8.8,29.0,5.0
19 Dec 2021,16:00,32.4,25.1,261,37.0,8.8,36.0,6.0
19 Dec 2021,17:00,32.3,22.5,243,34.0,8.8,36.0,5.0
19 Dec 2021,18:00,31.4,21.8,237,37.0,8.8,39.0,6.0
19 Dec 2021,19:00,30.1,21.8,226,37.0,8.8,38.0,6.0
19 Dec 2021,20:00,27.2,25.6,215,33.0,8.8,27.0,4.0
19 Dec 2021,21:00,24.6,25.8,210,34.0,8.8,25.0,4.0
19 Dec 2021,22:00,21.9,28.9,210,33.0,8.8,20.0,3.0
19 Dec 2021,23:00,19.7,31.5,205,29.0,8.8,15.0,2.0
20 Dec 2021,00:00,18.9,32.4,203,24.0,8.8,13.0,2.0
20 Dec 2021,01:00,17.7,34.9,200,24.0,8.8,11.0,2.0
20 Dec 2021,02:00,16.4,37.6,197,21.0,8.8,9.0,1.0
20 Dec 2021,03:00,15.4,41.3,193,18.0,8.8,7.0,1.0
20 Dec 2021,04:00,14.5,44.7,190,15.0,8.8,6.0,1.0
20 Dec 2021,05:00,13.5,48.3,189,15.0,8.8,5.0,1.0
20 Dec 2021,06:00,12.5,53.1,185,14.0,8.8,4.0,0.0
20 Dec 2021,07:00,13.4,50.4,181,16.0,8.8,5.0,1.0
20 Dec 2021,08:00,15.8,44.1,178,21.0,8.8,7.0,1.0
20 Dec 2021,09:00,17.1,39.8,177,14.0,8.8,8.0,1.0
20 Dec 2021,10:00,19.0,33.6,176,18.0,8.8,11.0,1.0
20 Dec 2021,11:00,20.5,29.9,166,16.0,8.8,12.0,1.0
20 Dec 2021,12:00,22.3,25.7,169,15.0,8.8,14.0,1.0
20 Dec 2021,13:00,24.0,22.2,185,14.0,8.8,17.0,1.0
20 Dec 2021,14:00,26.0,18.8,199,13.0,8.8,20.0,1.0
20 Dec 2021,15:00,27.5,16.6,204,11.0,8.8,22.0,1.0
20 Dec 2021,16:00,28.5,16.0,209,12.0,8.8,23.0,1.0
20 Dec 2021,17:00,29.2,15.3,212,11.0,8.8,24.0,1.0
