Date time,Predicted FMC (%),Heading direction (°),Rate of spread (m/h),Map dist (mm/h),LBR,Flank ROS (m/h),Flame height (m),Fireline Intensity (kW/m),Max Spot dist (m),Reliability
7/01/2013 05:00,20.826950000000004,348,5,0,1.2,3,0.1,37,NA,Poor
7/01/2013 06:00,20.945750000000004,346,5,0,1,5,0.1,35,NA,Poor
7/01/2013 07:00,20.57969,342,5,0,1,5,0.1,36,NA,Poor
7/01/2013 08:00,17.475,340,6,0,1,6,0.1,40,NA,Poor
7/01/2013 09:00,15.9417,303,6,0,1,6,0.1,45,NA,Poor
7/01/2013 10:00,14.3859,231,9,0,1.26,4,0.2,62,NA,Fair
7/01/2013 11:00,13.032900000000001,194,63,3,1.46,25,0.8,459,NA,Fair
7/01/2013 12:00,9.11181,203,340,14,1.62,118,2.6,2458,NA,Fair
7/01/2013 13:00,8.27894,219,456,18,1.79,139,3.3,3298,NA,Fair
7/01/2013 14:00,7.67862,227,558,22,1.98,151,3.8,4036,NA,Fair
7/01/2013 15:00,7.7195599999999995,232,586,23,2.08,150,3.9,4237,NA,Fair
7/01/2013 16:00,8.20946,243,577,23,2.19,139,3.9,4175,NA,Fair
7/01/2013 17:00,9.0379,249,512,20,2.19,124,3.6,3707,NA,Fair
7/01/2013 18:00,12.884300000000001,246,260,10,2.19,63,2.2,1879,NA,Fair
7/01/2013 19:00,14.288000000000002,240,181,7,2.08,46,1.7,1309,NA,Fair
7/01/2013 20:00,17.89121,237,83,3,1.88,24,1,601,NA,Poor
7/01/2013 21:00,19.156969999999998,220,54,2,1.7,18,0.7,391,NA,Poor
7/01/2013 22:00,19.265629999999998,187,39,2,1.54,14,0.6,283,NA,Poor
7/01/2013 23:00,19.0628,170,30,1,1.39,13,0.5,216,NA,Poor
8/01/2013 00:00,18.31571,165,26,1,1.32,12,0.4,189,NA,Poor
8/01/2013 01:00,17.405390000000004,153,31,1,1.39,13,0.5,223,NA,Poor
8/01/2013 02:00,15.916519999999998,147,39,2,1.46,15,0.6,281,NA,Poor
8/01/2013 03:00,13.844270000000002,139,64,3,1.54,24,0.8,464,NA,Fair
8/01/2013 04:00,12.00479,132,146,6,1.62,51,1.4,1059,NA,Fair
8/01/2013 05:00,10.71923,127,264,11,1.7,86,2.2,1907,NA,Fair
8/01/2013 06:00,12.255440000000002,126,198,8,1.79,60,1.8,1429,NA,Fair
8/01/2013 07:00,10.36814,125,345,14,1.88,99,2.7,2494,NA,Fair
8/01/2013 08:00,8.150300000000001,110,1268,51,4.87,132,6.9,9172,NA,Fair
8/01/2013 09:00,6.383900000000001,111,3591,144,5.21,348,14.6,25977,NA,Fair
8/01/2013 10:00,4.9510000000000005,111,4490,180,5.44,416,17.1,32481,NA,Fair
8/01/2013 11:00,4.017200000000001,111,4871,195,5.56,442,18.2,35231,NA,Fair
