Date time,Predicted FMC (%),Heading direction (°),Rate of spread (m/h),Map dist (mm/h),LBR,Flank ROS (m/h),Flame height (m),Fireline Intensity (kW/m),Max Spot dist (m),Reliability
7/01/2013 05:00,20.826950000000004,348,5,0,1.2,3,0.1,40,NL,Poor
7/01/2013 06:00,20.945750000000004,346,5,0,1,5,0.1,38,NL,Poor
7/01/2013 07:00,20.57969,342,5,0,1,5,0.1,38,NL,Poor
7/01/2013 08:00,17.475,340,6,0,1,6,0.1,43,NL,Poor
7/01/2013 09:00,15.9417,303,6,0,1,6,0.1,49,NL,Poor
7/01/2013 10:00,14.3859,231,10,0,1.26,5,0.2,76,NL,Fair
7/01/2013 11:00,13.032900000000001,194,74,3,1.46,29,0.9,572,29,Fair
7/01/2013 12:00,9.11181,203,297,12,1.62,103,2.4,2304,302,Good
7/01/2013 13:00,8.27894,219,390,16,1.79,119,2.9,3025,397,Good
7/01/2013 14:00,7.67862,227,476,19,1.98,129,3.4,3692,530,Good
7/01/2013 15:00,7.7195599999999995,232,500,20,2.08,128,3.5,3874,567,Good
7/01/2013 16:00,8.20946,243,493,20,2.19,119,3.5,3818,556,Good
7/01/2013 17:00,9.0379,249,438,18,2.19,106,3.2,3391,469,Good
7/01/2013 18:00,12.884300000000001,246,227,9,2.19,55,2,1758,165,Fair
7/01/2013 19:00,14.288000000000002,240,167,7,2.08,43,1.6,1291,92,Fair
7/01/2013 20:00,17.89121,237,90,4,1.88,26,1,701,NL,Poor
7/01/2013 21:00,19.156969999999998,220,61,2,1.7,20,0.8,475,NL,Poor
7/01/2013 22:00,19.265629999999998,187,43,2,1.54,16,0.6,333,NL,Poor
7/01/2013 23:00,19.0628,170,32,1,1.39,13,0.5,244,NL,Poor
8/01/2013 00:00,18.31571,165,27,1,1.32,12,0.4,211,NL,Poor
8/01/2013 01:00,17.405390000000004,153,33,1,1.39,14,0.5,254,NL,Poor
8/01/2013 02:00,15.916519999999998,147,43,2,1.46,17,0.6,329,NL,Poor
8/01/2013 03:00,13.844270000000002,139,74,3,1.54,27,0.9,575,29,Good
8/01/2013 04:00,12.00479,132,155,6,1.62,54,1.5,1199,110,Good
8/01/2013 05:00,10.71923,127,240,10,1.7,78,2.1,1861,220,Good
