Date time,Air temperature (°C),Relative humidity (%),10 m wind speed (km/h),Wind direction (°)
07/01/2013 05:00,17.5,93.9,5,168
07/01/2013 06:00,17.5,94.5,3,166
07/01/2013 07:00,17.7,92.7,2,162
07/01/2013 08:00,18.4,87.0,2,160
07/01/2013 09:00,19.8,78.3,4,123
07/01/2013 10:00,21.7,69.6,6,51
07/01/2013 11:00,23.6,62.1,9,14
07/01/2013 12:00,25.7,55.1,11,23
07/01/2013 13:00,27.8,48.7,13,39
07/01/2013 14:00,29.4,44.1,15,47
07/01/2013 15:00,29.2,44.4,16,52
07/01/2013 16:00,28.2,48.2,17,63
07/01/2013 17:00,27.0,54.7,17,69
07/01/2013 18:00,25.4,61.7,17,66
07/01/2013 19:00,23.5,69.5,16,60
07/01/2013 20:00,21.3,80.0,14,57
07/01/2013 21:00,20.1,86.1,12,40
07/01/2013 22:00,19.9,86.6,10,7
07/01/2013 23:00,20.0,85.6,8,350
08/01/2013 00:00,20.3,81.9,7,345
08/01/2013 01:00,20.7,77.4,8,333
08/01/2013 02:00,21.6,70.1,9,327
08/01/2013 03:00,23.1,60.0,10,319
08/01/2013 04:00,24.7,51.1,11,312
08/01/2013 05:00,25.9,44.9,12,307
08/01/2013 06:00,23.2,52.0,13,306
08/01/2013 07:00,26.2,43.2,14,305
08/01/2013 08:00,29.2,34.7,39,290
08/01/2013 09:00,32.4,25.1,42,291
08/01/2013 10:00,35.7,17.5,44,291
08/01/2013 11:00,38.8,12.8,45,291
08/01/2013 12:00,40.0,11.4,46,287
08/01/2013 13:00,41.1,10.6,47,280
08/01/2013 14:00,42.3,9.9,46,277
08/01/2013 15:00,42.1,9.5,39,268
08/01/2013 16:00,42.0,9.3,30,254
08/01/2013 17:00,41.8,9.8,24,249
08/01/2013 18:00,39.6,13.8,20,252
08/01/2013 19:00,37.4,20.4,18,286
08/01/2013 20:00,35.2,28.4,13,287
08/01/2013 21:00,32.4,34.7,14,254
08/01/2013 22:00,29.6,39.4,14,199
08/01/2013 23:00,26.9,42.6,14,171
09/01/2013 00:00,24.5,51.7,12,176
09/01/2013 01:00,22.1,62.1,10,172
09/01/2013 02:00,19.6,74.8,8,161
09/01/2013 03:00,19.5,74.3,9,157
09/01/2013 04:00,19.2,74.2,10,153
09/01/2013 05:00,19.1,73.8,11,147
09/01/2013 06:00,18.2,72.6,11,150
09/01/2013 07:00,17.4,71.1,11,156
09/01/2013 08:00,16.5,70.0,11,157
09/01/2013 09:00,17.5,62.3,10,156
09/01/2013 10:00,18.6,55.5,9,155
09/01/2013 11:00,19.6,49.4,8,155
09/01/2013 12:00,21.1,44.7,9,147
09/01/2013 13:00,22.5,41.1,11,142
09/01/2013 14:00,24.0,37.2,13,137
09/01/2013 15:00,23.6,37.6,14,134
09/01/2013 16:00,23.3,37.6,15,131
09/01/2013 17:00,22.9,38.0,16,126
09/01/2013 18:00,21.4,43.6,13,123
09/01/2013 19:00,19.8,50.1,10,118
09/01/2013 20:00,18.2,58.0,8,109
09/01/2013 21:00,17.4,62.2,7,101
09/01/2013 22:00,16.5,66.8,7,91
09/01/2013 23:00,15.7,71.7,7,78
10/01/2013 00:00,15.6,73.1,7,64
10/01/2013 01:00,15.3,75.5,6,48
10/01/2013 02:00,15.2,77.0,6,33
10/01/2013 03:00,15.0,76.5,6,24
10/01/2013 04:00,14.9,75.5,6,14
10/01/2013 05:00,14.7,74.9,6,4
10/01/2013 06:00,15.7,70.3,8,21
10/01/2013 07:00,16.8,65.1,10,32
10/01/2013 08:00,17.8,61.1,12,38
10/01/2013 09:00,18.4,58.5,12,41
10/01/2013 10:00,19.7,53.6,12,44
10/01/2013 11:00,20.9,49.4,12,47
10/01/2013 12:00,22.3,46.3,13,50
