Date,Time,Temp (deg C),RH (%),Wind Direction,Wind Speed (km/h),DF
07/01/2013,05:00,17.5,93.9,168,5,9.7
07/01/2013,06:00,17.5,94.5,166,3,9.7
07/01/2013,07:00,17.7,92.7,162,2,9.7
07/01/2013,08:00,18.4,87.0,160,2,9.7
07/01/2013,09:00,19.8,78.3,123,4,9.7
07/01/2013,10:00,21.7,69.6,51,6,9.7
07/01/2013,11:00,23.6,62.1,14,9,9.7
07/01/2013,12:00,25.7,55.1,23,11,9.7
07/01/2013,13:00,27.8,48.7,39,13,9.7
07/01/2013,14:00,29.4,44.1,47,15,9.7
07/01/2013,15:00,29.2,44.4,52,16,9.7
07/01/2013,16:00,28.2,48.2,63,17,9.7
07/01/2013,17:00,27.0,54.7,69,17,9.7
07/01/2013,18:00,25.4,61.7,66,17,9.7
07/01/2013,19:00,23.5,69.5,60,16,9.7
07/01/2013,20:00,21.3,80.0,57,14,9.7
07/01/2013,21:00,20.1,86.1,40,12,9.7
07/01/2013,22:00,19.9,86.6,7,10,9.7
07/01/2013,23:00,20.0,85.6,350,8,9.7
08/01/2013,00:00,20.3,81.9,345,7,9.7
08/01/2013,01:00,20.7,77.4,333,8,9.7
08/01/2013,02:00,21.6,70.1,327,9,9.7
08/01/2013,03:00,23.1,60.0,319,10,9.7
08/01/2013,04:00,24.7,51.1,312,11,9.7
08/01/2013,05:00,25.9,44.9,307,12,9.7
08/01/2013,06:00,23.2,52.0,306,13,9.7
08/01/2013,07:00,26.2,43.2,305,14,9.7
08/01/2013,08:00,29.2,34.7,290,39,9.7
08/01/2013,09:00,32.4,25.1,291,42,9.7
08/01/2013,10:00,35.7,17.5,291,44,9.7
08/01/2013,11:00,38.8,12.8,291,45,9.8
08/01/2013,12:00,40.0,11.4,287,46,9.8
08/01/2013,13:00,41.1,10.6,280,47,9.8
08/01/2013,14:00,42.3,9.9,277,46,9.8
08/01/2013,15:00,42.1,9.5,268,39,9.8
08/01/2013,16:00,42.0,9.3,254,30,9.8
08/01/2013,17:00,41.8,9.8,249,24,9.8
08/01/2013,18:00,39.6,13.8,252,20,9.8
08/01/2013,19:00,37.4,20.4,286,18,9.8
08/01/2013,20:00,35.2,28.4,287,13,9.8
08/01/2013,21:00,32.4,34.7,254,14,9.8
08/01/2013,22:00,29.6,39.4,199,14,9.8
08/01/2013,23:00,26.9,42.6,171,14,9.8
09/01/2013,00:00,24.5,51.7,176,12,9.8
09/01/2013,01:00,22.1,62.1,172,10,9.8
09/01/2013,02:00,19.6,74.8,161,8,9.8
09/01/2013,03:00,19.5,74.3,157,9,9.8
09/01/2013,04:00,19.2,74.2,153,10,9.8
09/01/2013,05:00,19.1,73.8,147,11,9.8
09/01/2013,06:00,18.2,72.6,150,11,9.8
09/01/2013,07:00,17.4,71.1,156,11,9.8
09/01/2013,08:00,16.5,70.0,157,11,9.8
09/01/2013,09:00,17.5,62.3,156,10,9.8
09/01/2013,10:00,18.6,55.5,155,9,9.8
09/01/2013,11:00,19.6,49.4,155,8,9.9
09/01/2013,12:00,21.1,44.7,147,9,9.9
09/01/2013,13:00,22.5,41.1,142,11,9.9
09/01/2013,14:00,24.0,37.2,137,13,9.9
09/01/2013,15:00,23.6,37.6,134,14,9.9
09/01/2013,16:00,23.3,37.6,131,15,9.9
09/01/2013,17:00,22.9,38.0,126,16,9.9
09/01/2013,18:00,21.4,43.6,123,13,9.9
09/01/2013,19:00,19.8,50.1,118,10,9.9
09/01/2013,20:00,18.2,58.0,109,8,9.9
09/01/2013,21:00,17.4,62.2,101,7,9.9
09/01/2013,22:00,16.5,66.8,91,7,9.9
09/01/2013,23:00,15.7,71.7,78,7,9.9
10/01/2013,00:00,15.6,73.1,64,7,9.9
10/01/2013,01:00,15.3,75.5,48,6,9.9
10/01/2013,02:00,15.2,77.0,33,6,9.9
10/01/2013,03:00,15.0,76.5,24,6,9.9
10/01/2013,04:00,14.9,75.5,14,6,9.9
10/01/2013,05:00,14.7,74.9,4,6,9.9
10/01/2013,06:00,15.7,70.3,21,8,9.9
10/01/2013,07:00,16.8,65.1,32,10,9.9
10/01/2013,08:00,17.8,61.1,38,12,9.9
10/01/2013,09:00,18.4,58.5,41,12,9.9
10/01/2013,10:00,19.7,53.6,44,12,9.9
10/01/2013,11:00,20.9,49.4,47,12,9.9
10/01/2013,12:00,22.3,46.3,50,13,9.9
