Date time,Predicted FMC (%),Heading direction (°),Rate of spread (m/h),Map dist (mm/h),LBR,Flank ROS (m/h),Flame height (m),Fireline Intensity (kW/m),Max Spot dist (m),Reliability
7/11/2019 00:00,21.165530000000004,100,5,0,1,5,0.1,35,NA,Poor
7/11/2019 00:30,21.595340000000004,180,4,0,1,4,0.1,32,NA,Poor
7/11/2019 01:00,21.35387,110,5,0,1.2,3,0.1,34,NA,Poor
7/11/2019 01:30,21.822319999999998,30,4,0,1,4,0.1,31,NA,Poor
7/11/2019 02:00,22.27145,70,24,1,1.39,10,0.4,173,NA,Poor
7/11/2019 02:30,22.26179,100,4,0,1.2,2,0.1,28,NA,Poor
7/11/2019 03:00,22.2473,120,4,0,1.2,2,0.1,28,NA,Poor
7/11/2019 03:30,22.31009,80,27,1,1.46,10,0.4,192,NA,Poor
7/11/2019 04:00,22.26662,60,27,1,1.46,11,0.4,193,NA,Poor
7/11/2019 04:30,22.31009,70,27,1,1.46,10,0.4,192,NA,Poor
7/11/2019 05:00,22.372880000000002,90,26,1,1.46,10,0.4,189,NA,Poor
7/11/2019 05:30,22.363220000000002,180,4,0,1,4,0.1,27,NA,Poor
7/11/2019 06:00,22.36805,180,4,0,1,4,0.1,27,NA,Poor
7/11/2019 06:30,22.33907,40,4,0,1,4,0.1,27,NA,Poor
7/11/2019 07:00,22.21349,180,4,0,1,4,0.1,28,NA,Poor
7/11/2019 07:30,22.09274,70,4,0,1.2,2,0.1,30,NA,Poor
7/11/2019 08:00,14.994000000000002,180,7,0,1,7,0.2,49,NA,Poor
7/11/2019 08:30,7.6755,120,495,20,1.79,151,3.5,3581,NA,Fair
7/11/2019 09:00,7.0920000000000005,140,666,27,2.19,161,4.3,4814,NA,Fair
7/11/2019 09:30,5.4225,150,1082,43,2.68,209,6.1,7829,NA,Fair
7/11/2019 10:00,4.8615,150,918,37,2.19,222,5.4,6641,NA,Fair
7/11/2019 10:30,4.661,150,963,39,2.19,233,5.6,6968,NA,Fair
7/11/2019 11:00,4.429,170,1973,79,3.12,325,9.4,14268,NA,Fair
7/11/2019 11:30,4.188000000000001,140,2070,83,3.12,341,9.8,14970,NA,Fair
7/11/2019 12:00,3.6290299999999998,150,1657,66,2.68,320,8.3,11985,NA,Fair
7/11/2019 12:30,3.3698099999999993,140,1238,50,2.3,283,6.7,8953,NA,Fair
7/11/2019 13:00,3.2308499999999998,160,2110,84,3.12,347,9.9,15261,NA,Fair
7/11/2019 13:30,3.2308499999999998,140,2403,96,3.39,363,10.9,17382,NA,Fair
7/11/2019 14:00,3.1068499999999997,100,1808,72,2.82,331,8.9,13075,NA,Fair
7/11/2019 14:30,3.1012399999999998,130,1238,50,2.3,283,6.7,8953,NA,Fair
7/11/2019 15:00,3.0993699999999995,100,756,30,1.79,231,4.7,5472,NA,Fair
7/11/2019 15:30,5.1600399999999995,280,1180,47,2.68,228,6.5,8538,NA,Fair
7/11/2019 16:00,4.91391,290,780,31,1.98,211,4.8,5639,NA,Fair
7/11/2019 16:30,5.42861,300,1080,43,2.68,209,6.1,7814,NA,Fair
7/11/2019 17:00,4.92887,280,904,36,2.19,218,5.4,6540,NA,Fair
7/11/2019 17:30,4.684609999999999,290,958,38,2.19,231,5.6,6928,NA,Fair
7/11/2019 18:00,5.857500000000001,270,528,21,1.62,183,3.6,3820,NA,Fair
7/11/2019 18:30,6.258500000000001,270,428,17,1.46,169,3.1,3094,NA,Fair
7/11/2019 19:00,6.869,260,474,19,1.62,164,3.4,3432,NA,Fair
7/11/2019 19:30,7.799500000000001,290,349,14,1.46,138,2.7,2525,NA,Fair
7/11/2019 20:00,11.666300000000001,330,77,3,1.39,32,0.9,554,NA,Fair
7/11/2019 20:30,11.85947,30,15,1,1.2,8,0.3,110,NA,Fair
7/11/2019 21:00,12.91709,180,9,0,1,9,0.2,68,NA,Fair
7/11/2019 21:30,13.73324,180,8,0,1,8,0.2,59,NA,Fair
7/11/2019 22:00,15.83882,180,6,0,1,6,0.1,45,NA,Fair
7/11/2019 22:30,16.05614,40,6,0,1.2,3,0.1,46,NA,Fair
7/11/2019 23:00,16.843310000000002,130,6,0,1.2,3,0.1,43,NA,Poor
7/11/2019 23:30,17.06063,150,6,0,1,6,0.1,41,NA,Poor
8/11/2019 00:00,16.92059,120,6,0,1,6,0.1,42,NA,Poor
8/11/2019 00:30,17.55806,130,6,0,1,6,0.1,40,NA,Poor
8/11/2019 01:00,18.35972,180,5,0,1,5,0.1,39,NA,Poor
8/11/2019 01:30,18.56738,90,5,0,1,5,0.1,39,NA,Poor
8/11/2019 02:00,18.374209999999998,180,5,0,1,5,0.1,39,NA,Poor
8/11/2019 02:30,18.79919,360,5,0,1,5,0.1,39,NA,Poor
8/11/2019 03:00,18.99236,180,5,0,1,5,0.1,39,NA,Poor
8/11/2019 03:30,19.2773,180,5,0,1,5,0.1,38,NA,Poor
8/11/2019 04:00,19.4753,180,5,0,1,5,0.1,38,NA,Poor
8/11/2019 04:30,20.47013,90,5,0,1.2,3,0.1,38,NA,Poor
8/11/2019 05:00,19.85681,130,5,0,1.2,3,0.1,39,NA,Poor
8/11/2019 05:30,19.687790000000003,70,5,0,1.2,3,0.1,39,NA,Poor
8/11/2019 06:00,20.30594,140,5,0,1,5,0.1,37,NA,Poor
8/11/2019 06:30,20.82749,180,5,0,1,5,0.1,36,NA,Poor
8/11/2019 07:00,20.75987,80,28,1,1.39,12,0.4,204,NA,Poor
8/11/2019 07:30,17.26829,180,6,0,1,6,0.1,41,NA,Poor
8/11/2019 08:00,12.129999999999999,50,14,1,1.2,7,0.3,100,NA,Fair
8/11/2019 08:30,10.483,180,14,1,1,14,0.3,102,NA,Fair
8/11/2019 09:00,8.9915,180,17,1,1,17,0.3,126,NA,Fair
8/11/2019 09:30,8.0025,200,41,2,1,41,0.6,294,NA,Fair
8/11/2019 10:00,4.438000000000001,80,455,18,1.39,193,3.3,3288,NA,Fair
8/11/2019 10:30,4.0280000000000005,179,756,30,1.79,231,4.7,5472,NA,Fair
8/11/2019 11:00,3.654,160,1657,66,2.68,320,8.3,11985,NA,Fair
8/11/2019 11:26,3.4220000000000006,120,2952,118,3.84,391,12.6,21350,NA,Fair
8/11/2019 11:30,3.404000000000001,140,5000,200,5.67,444,18.5,36168,NA,Fair
8/11/2019 12:00,2.9809799999999997,120,4357,174,5.1,431,16.8,31516,NA,Fair
8/11/2019 12:30,2.9865899999999996,110,3468,139,4.3,409,14.2,25088,NA,Fair
8/11/2019 13:00,2.9809799999999997,130,3083,123,3.96,396,13,22299,NA,Fair
8/11/2019 13:30,2.9734999999999996,120,2683,107,3.61,379,11.8,19407,NA,Fair
8/11/2019 13:36,2.9734999999999996,120,2683,107,3.61,379,11.8,19407,NA,Fair
8/11/2019 14:00,2.85511,110,3083,123,3.96,396,13,22299,NA,Fair
8/11/2019 14:30,2.9921999999999995,140,2110,84,3.12,347,9.9,15261,NA,Fair
8/11/2019 15:00,2.99407,150,1657,66,2.68,320,8.3,11985,NA,Fair
8/11/2019 15:30,2.99407,170,467,19,1.39,198,3.3,3376,NA,Fair
8/11/2019 16:00,4.6733899999999995,310,813,33,1.98,220,5,5877,NA,Fair
8/11/2019 16:30,6.0617,320,751,30,2.19,181,4.7,5431,NA,Fair
8/11/2019 17:00,6.45053,320,572,23,1.79,175,3.9,4137,NA,Fair
8/11/2019 17:30,6.8412299999999995,250,548,22,1.79,167,3.7,3963,NA,Fair
8/11/2019 18:00,8.6695,30,541,22,2.19,131,3.7,3914,NA,Fair
8/11/2019 18:30,8.327,210,318,13,1.46,126,2.5,2297,NA,Fair
8/11/2019 19:00,9.230500000000001,350,213,9,1.39,90,1.9,1539,NA,Fair
8/11/2019 19:30,9.796,210,171,7,1.39,73,1.6,1239,NA,Fair
8/11/2019 20:00,8.56586,90,260,10,1.39,110,2.2,1884,NA,Fair
8/11/2019 20:30,10.275440000000001,350,24,1,1,24,0.4,175,NA,Fair
8/11/2019 20:52,5.47511,120,1152,46,2.82,211,6.4,8330,NA,Fair
8/11/2019 21:00,4.62032,110,1425,57,2.68,276,7.5,10306,NA,Fair
8/11/2019 21:30,4.63481,120,1418,57,2.68,274,7.4,10257,NA,Fair
8/11/2019 22:00,4.42232,110,1515,61,2.68,293,7.8,10958,NA,Fair
8/11/2019 22:30,5.0984300000000005,110,659,26,1.79,201,4.3,4767,NA,Fair
8/11/2019 23:00,5.76005,60,407,16,1.39,173,3,2942,NA,Fair
8/11/2019 23:30,6.58586,70,412,16,1.46,163,3,2983,NA,Fair
8/11/2019 23:56,8.17469,310,933,37,3.84,123,5.5,6747,NA,Fair
8/11/2019 23:57,10.24646,320,807,32,4.64,88,4.9,5835,NA,Fair
9/11/2019 00:00,12.08159,330,679,27,5.44,63,4.4,4911,NA,Fair
9/11/2019 00:30,13.916720000000002,330,343,14,3.61,48,2.7,2484,NA,Fair
9/11/2019 00:50,12.54521,330,456,18,3.84,60,3.3,3302,NA,Fair
9/11/2019 01:00,12.154040000000002,340,378,15,2.82,69,2.9,2732,NA,Fair
9/11/2019 01:30,12.801169999999999,340,324,13,2.68,63,2.6,2345,NA,Fair
9/11/2019 02:00,12.63698,340,373,15,3.12,61,2.8,2701,NA,Fair
9/11/2019 02:30,12.453470000000001,330,299,12,2.3,68,2.4,2166,NA,Fair
9/11/2019 03:00,12.472790000000002,310,185,7,1.79,57,1.7,1341,NA,Fair
9/11/2019 03:30,13.095770000000002,340,266,11,2.3,61,2.2,1925,NA,Fair
9/11/2019 04:00,13.322750000000001,360,296,12,2.68,57,2.4,2144,NA,Fair
9/11/2019 04:30,12.530750000000001,360,354,14,2.82,65,2.7,2558,NA,Fair
9/11/2019 05:00,12.347240000000001,350,247,10,1.98,67,2.1,1787,NA,Fair
9/11/2019 05:30,12.16856,340,203,8,1.79,62,1.8,1465,NA,Fair
9/11/2019 06:00,12.183050000000001,360,315,13,2.3,72,2.5,2277,NA,Fair
9/11/2019 06:30,12.603200000000001,20,233,9,1.98,63,2,1686,NA,Fair
9/11/2019 07:00,12.38588,10,190,8,1.79,58,1.7,1376,NA,Fair
9/11/2019 07:30,11.970559999999999,10,390,16,2.82,71,2.9,2822,NA,Fair
