Date time,Predicted FMC (%),Heading direction (°),Rate of spread (m/h),Map dist (mm/h),LBR,Flank ROS (m/h),Flame height (m),Fireline Intensity (kW/m),Max Spot dist (m),Reliability
7/11/2019 00:00,21.165530000000004,100,5,0,1,5,0.1,37,NL,Poor
7/11/2019 00:30,21.595340000000004,180,4,0,1,4,0.1,34,NL,Poor
7/11/2019 01:00,21.35387,110,5,0,1.2,3,0.1,37,NL,Poor
7/11/2019 01:30,21.822319999999998,30,4,0,1,4,0.1,33,NL,Poor
7/11/2019 02:00,22.27145,70,25,1,1.39,11,0.4,192,NL,Poor
7/11/2019 02:30,22.26179,100,4,0,1.2,2,0.1,31,NL,Poor
7/11/2019 03:00,22.2473,120,4,0,1.2,2,0.1,31,NL,Poor
7/11/2019 03:30,22.31009,80,28,1,1.46,11,0.4,215,NL,Poor
7/11/2019 04:00,22.26662,60,28,1,1.46,11,0.4,217,NL,Poor
7/11/2019 04:30,22.31009,70,28,1,1.46,11,0.4,215,NL,Poor
7/11/2019 05:00,22.372880000000002,90,27,1,1.46,11,0.4,212,NL,Poor
7/11/2019 05:30,22.363220000000002,180,4,0,1,4,0.1,28,NL,Poor
7/11/2019 06:00,22.36805,180,4,0,1,4,0.1,28,NL,Poor
7/11/2019 06:30,22.33907,40,4,0,1,4,0.1,29,NL,Poor
7/11/2019 07:00,22.21349,180,4,0,1,4,0.1,30,NL,Poor
7/11/2019 07:30,22.09274,70,4,0,1.2,2,0.1,32,NL,Poor
7/11/2019 08:00,14.994000000000002,180,7,0,1,7,0.2,52,NL,Poor
7/11/2019 08:30,7.6755,120,423,17,1.79,129,3.1,3279,447,Good
7/11/2019 09:00,7.0920000000000005,140,568,23,2.19,137,3.8,4402,678,Good
7/11/2019 09:30,5.4225,150,921,37,2.68,178,5.4,7139,1121,Good
7/11/2019 10:00,4.8615,150,782,31,2.19,189,4.8,6062,1046,Good
7/11/2019 10:30,4.661,150,822,33,2.19,198,5,6369,1117,Good
7/11/2019 11:00,4.429,170,1809,72,3.12,298,8.9,14019,2388,Good
7/11/2019 11:30,4.188000000000001,140,1926,77,3.12,317,9.3,14930,2579,Good
7/11/2019 12:00,3.6290299999999998,150,1494,60,2.68,289,7.7,11577,2018,Good
7/11/2019 12:30,3.3698099999999993,140,1077,43,2.3,246,6.1,8350,1359,Good
7/11/2019 13:00,3.2308499999999998,160,1976,79,3.12,325,9.5,15316,2660,Good
7/11/2019 13:30,3.2308499999999998,140,2294,92,3.39,346,10.5,17778,3187,Good
7/11/2019 14:00,3.1068499999999997,100,1652,66,2.82,303,8.3,12802,2276,Good
7/11/2019 14:30,3.1012399999999998,130,1077,43,2.3,246,6.1,8350,1359,Good
7/11/2019 15:00,3.0993699999999995,100,646,26,1.79,197,4.2,5008,809,Good
7/11/2019 15:30,5.1600399999999995,280,1008,40,2.68,195,5.8,7809,1252,Good
7/11/2019 16:00,4.91391,290,664,27,1.98,180,4.3,5150,841,Good
7/11/2019 16:30,5.42861,300,919,37,2.68,178,5.4,7125,1119,Good
7/11/2019 17:00,4.92887,280,770,31,2.19,186,4.8,5969,1025,Good
7/11/2019 17:30,4.684609999999999,290,817,33,2.19,197,5,6330,1108,Good
7/11/2019 18:00,5.857500000000001,270,451,18,1.62,156,3.2,3495,542,Good
7/11/2019 18:30,6.258500000000001,270,366,15,1.46,145,2.8,2839,408,Good
7/11/2019 19:00,6.869,260,406,16,1.62,140,3,3144,469,Good
7/11/2019 19:30,7.799500000000001,290,304,12,1.46,120,2.4,2353,312,Good
7/11/2019 20:00,11.666300000000001,330,90,4,1.39,38,1,701,43,Good
7/11/2019 20:30,11.85947,30,19,1,1.2,10,0.3,146,NL,Fair
7/11/2019 21:00,12.91709,180,9,0,1,9,0.2,71,NL,Fair
7/11/2019 21:30,13.73324,180,8,0,1,8,0.2,62,NL,Fair
7/11/2019 22:00,15.83882,180,6,0,1,6,0.1,47,NL,Fair
7/11/2019 22:30,16.05614,40,7,0,1.2,4,0.2,51,NL,Fair
7/11/2019 23:00,16.843310000000002,130,6,0,1.2,3,0.1,48,NL,Poor
7/11/2019 23:30,17.06063,150,6,0,1,6,0.1,44,NL,Poor
8/11/2019 00:00,16.92059,120,6,0,1,6,0.1,45,NL,Poor
8/11/2019 00:30,17.55806,130,6,0,1,6,0.1,43,NL,Poor
8/11/2019 01:00,18.35972,180,5,0,1,5,0.1,41,NL,Poor
8/11/2019 01:30,18.56738,90,5,0,1,5,0.1,41,NL,Poor
8/11/2019 02:00,18.374209999999998,180,5,0,1,5,0.1,41,NL,Poor
8/11/2019 02:30,18.79919,360,5,0,1,5,0.1,41,NL,Poor
8/11/2019 03:00,18.99236,180,5,0,1,5,0.1,41,NL,Poor
8/11/2019 03:30,19.2773,180,5,0,1,5,0.1,41,NL,Poor
8/11/2019 04:00,19.4753,180,5,0,1,5,0.1,40,NL,Poor
8/11/2019 04:30,20.47013,90,5,0,1.2,3,0.1,41,NL,Poor
8/11/2019 05:00,19.85681,130,5,0,1.2,3,0.1,43,NL,Poor
8/11/2019 05:30,19.687790000000003,70,6,0,1.2,3,0.1,43,NL,Poor
8/11/2019 06:00,20.30594,140,5,0,1,5,0.1,39,NL,Poor
8/11/2019 06:30,20.82749,180,5,0,1,5,0.1,38,NL,Poor
8/11/2019 07:00,20.75987,80,30,1,1.39,13,0.5,230,NL,Poor
8/11/2019 07:30,17.26829,180,6,0,1,6,0.1,43,NL,Poor
8/11/2019 08:00,12.129999999999999,50,17,1,1.2,9,0.3,129,NL,Fair
8/11/2019 08:30,10.483,180,14,1,1,14,0.3,107,NL,Fair
8/11/2019 09:00,8.9915,180,16,1,1,16,0.3,127,NL,Fair
8/11/2019 09:30,8.0025,200,49,2,1,49,0.7,378,46,Fair
8/11/2019 10:00,4.438000000000001,80,389,16,1.39,165,2.9,3013,443,Good
8/11/2019 10:30,4.0280000000000005,179,646,26,1.79,197,4.2,5008,809,Good
8/11/2019 11:00,3.654,160,1494,60,2.68,289,7.7,11577,2018,Good
8/11/2019 11:26,3.4220000000000006,120,2877,115,3.84,381,12.4,22298,3736,Good
8/11/2019 11:30,3.404000000000001,140,4928,197,5.67,438,18.3,38193,5807,Good
8/11/2019 12:00,2.9809799999999997,120,4293,172,5.1,425,16.6,33269,5614,Good
8/11/2019 12:30,2.9865899999999996,110,3407,136,4.3,402,14,26400,4415,Good
8/11/2019 13:00,2.9809799999999997,130,3013,121,3.96,387,12.8,23352,3945,Good
8/11/2019 13:30,2.9734999999999996,120,2594,104,3.61,366,11.5,20106,3306,Good
8/11/2019 13:36,2.9734999999999996,120,2594,104,3.61,366,11.5,20106,3306,Good
8/11/2019 14:00,2.85511,110,3013,121,3.96,387,12.8,23352,3945,Good
8/11/2019 14:30,2.9921999999999995,140,1976,79,3.12,325,9.5,15316,2660,Good
8/11/2019 15:00,2.99407,150,1494,60,2.68,289,7.7,11577,2018,Good
8/11/2019 15:30,2.99407,170,399,16,1.39,169,3,3094,459,Good
8/11/2019 16:00,4.6733899999999995,310,693,28,1.98,188,4.4,5368,889,Good
8/11/2019 16:30,6.0617,320,641,26,2.19,155,4.2,4964,800,Good
8/11/2019 17:00,6.45053,320,488,20,1.79,149,3.4,3784,549,Good
8/11/2019 17:30,6.8412299999999995,250,468,19,1.79,143,3.3,3625,516,Good
8/11/2019 18:00,8.6695,30,462,18,2.19,112,3.3,3580,507,Good
8/11/2019 18:30,8.327,210,280,11,1.46,111,2.3,2172,277,Good
8/11/2019 19:00,9.230500000000001,350,206,8,1.39,88,1.8,1599,174,Good
8/11/2019 19:30,9.796,210,177,7,1.39,75,1.7,1371,137,Good
8/11/2019 20:00,8.56586,90,239,10,1.39,101,2.1,1851,218,Good
8/11/2019 20:30,10.275440000000001,350,31,1,1,31,0.5,243,NL,Fair
8/11/2019 20:52,5.47511,120,981,39,2.82,180,5.7,7600,1211,Good
8/11/2019 21:00,4.62032,110,1242,50,2.68,240,6.8,9623,1616,Good
8/11/2019 21:30,4.63481,120,1235,49,2.68,239,6.7,9570,1605,Good
8/11/2019 22:00,4.42232,110,1336,53,2.68,258,7.1,10354,1765,Good
8/11/2019 22:30,5.0984300000000005,110,562,22,1.79,172,3.8,4358,669,Good
8/11/2019 23:00,5.76005,60,348,14,1.39,148,2.7,2701,381,Good
8/11/2019 23:30,6.58586,70,354,14,1.46,140,2.7,2742,389,Good
8/11/2019 23:56,8.17469,310,796,32,3.84,105,4.9,6168,781,Good
8/11/2019 23:57,10.24646,320,688,28,4.64,75,4.4,5334,612,Good
9/11/2019 00:00,12.08159,330,579,23,5.44,54,3.9,4490,460,Good
9/11/2019 00:30,13.916720000000002,330,293,12,3.61,41,2.4,2271,NL,Good
9/11/2019 00:50,12.54521,330,389,16,3.84,52,2.9,3018,305,Good
9/11/2019 01:00,12.154040000000002,340,323,13,2.82,59,2.6,2500,282,Good
9/11/2019 01:30,12.801169999999999,340,277,11,2.68,54,2.3,2149,224,Good
9/11/2019 02:00,12.63698,340,319,13,3.12,52,2.5,2470,237,Good
9/11/2019 02:30,12.453470000000001,330,258,10,2.3,59,2.2,2000,200,Good
9/11/2019 03:00,12.472790000000002,310,180,7,1.79,55,1.7,1397,108,Fair
9/11/2019 03:30,13.095770000000002,340,230,9,2.3,53,2,1786,167,Fair
9/11/2019 04:00,13.322750000000001,360,254,10,2.68,49,2.1,1967,195,Fair
9/11/2019 04:30,12.530750000000001,360,302,12,2.82,55,2.4,2341,256,Fair
9/11/2019 05:00,12.347240000000001,350,221,9,1.98,60,1.9,1712,157,Fair
9/11/2019 05:30,12.16856,340,193,8,1.79,59,1.8,1497,123,Fair
9/11/2019 06:00,12.183050000000001,360,271,11,2.3,62,2.2,2099,216,Fair
9/11/2019 06:30,12.603200000000001,20,210,8,1.98,57,1.9,1629,144,Fair
9/11/2019 07:00,12.38588,10,184,7,1.79,56,1.7,1425,112,Fair
9/11/2019 07:30,11.970559999999999,10,333,13,2.82,61,2.6,2582,296,Fair
9/11/2019 08:00,10.764500000000002,10,471,19,3.39,71,3.4,3653,420,Fair
9/11/2019 08:30,10.244,360,514,21,3.39,78,3.6,3986,474,Fair
9/11/2019 09:00,9.883500000000002,360,384,15,2.19,93,2.9,2973,387,Fair
9/11/2019 09:30,9.176,360,531,21,2.82,97,3.7,4112,557,Fair
9/11/2019 10:00,8.651,360,417,17,1.98,113,3.1,3235,438,Good
9/11/2019 10:30,8.615,310,267,11,1.46,105,2.2,2069,258,Good
9/11/2019 11:00,7.0625,340,456,18,1.79,139,3.3,3534,498,Good
9/11/2019 11:30,6.871,330,199,8,1.2,108,1.8,1544,270,Fair
9/11/2019 12:00,5.45795,230,239,10,1.2,129,2.1,1856,330,Fair
9/11/2019 12:30,6.7222599999999995,240,808,32,3.12,133,5,6259,867,Good
9/11/2019 13:00,6.59452,270,756,30,2.82,139,4.7,5860,877,Good
9/11/2019 13:30,6.474259999999999,270,736,29,2.68,142,4.6,5706,848,Good
9/11/2019 14:00,6.5963899999999995,270,756,30,2.82,139,4.7,5859,876,Good
9/11/2019 14:30,6.85561,300,729,29,2.82,134,4.6,5647,837,Good
9/11/2019 15:00,6.857480000000001,290,584,23,2.19,141,3.9,4525,704,Good
9/11/2019 15:30,7.1148299999999995,310,676,27,2.68,131,4.4,5243,762,Good
9/11/2019 16:00,6.7447,300,740,30,2.82,136,4.6,5734,853,Good
9/11/2019 16:30,6.99644,310,574,23,2.19,139,3.9,4452,689,Fair
9/11/2019 17:00,7.37592,310,576,23,2.3,131,3.9,4460,619,Fair
