Date time,Predicted FMC (%),Heading direction (°),Rate of spread (m/h),Map dist (mm/h),LBR,Flank ROS (m/h),Flame height (m),Fireline Intensity (kW/m),Max Spot dist (m),Reliability
19/12/2021 04:00,6.71723,216,661,26,2.08,169,4.3,4780,NA,Fair
19/12/2021 05:00,6.771319999999999,132,552,22,1.79,169,3.8,3994,NA,Fair
19/12/2021 06:00,7.38899,156,611,24,2.08,156,4,4416,NA,Fair
19/12/2021 07:00,7.552700000000001,182,870,35,3.28,136,5.2,6290,NA,Fair
19/12/2021 08:00,6.8555,180,1410,56,4.07,176,7.4,10195,NA,Fair
19/12/2021 09:00,7.085500000000001,148,1005,40,3.5,147,5.8,7272,NA,Fair
19/12/2021 10:00,7.6906,148,1993,80,5.21,193,9.5,14415,NA,Fair
19/12/2021 11:00,8.2224,146,1553,62,5.33,147,7.9,11232,NA,Fair
19/12/2021 12:00,7.05183,112,3479,139,5.56,316,14.2,25167,NA,Fair
19/12/2021 13:00,6.95263,105,2643,106,4.99,268,11.7,19120,NA,Fair
19/12/2021 14:00,6.623239999999999,97,3398,136,5.21,329,14,24582,NA,Fair
19/12/2021 15:00,5.88603,78,3189,128,4.64,348,13.4,23070,NA,Fair
19/12/2021 16:00,5.26652,81,3509,140,4.64,382,14.3,25384,NA,Fair
19/12/2021 17:00,4.94599,63,3233,129,4.3,381,13.5,23389,NA,Fair
19/12/2021 18:00,5.871200000000001,57,3199,128,4.64,349,13.4,23143,NA,Fair
19/12/2021 19:00,5.9297,46,3159,126,4.64,344,13.3,22850,NA,Fair
19/12/2021 20:00,6.83504,35,1539,62,4.19,187,7.9,11134,NA,Fair
19/12/2021 21:00,7.0002200000000006,30,1529,61,4.3,180,7.9,11057,NA,Fair
19/12/2021 22:00,7.7444299999999995,30,1106,44,4.19,134,6.2,8003,NA,Fair
19/12/2021 23:00,8.365490000000001,25,881,35,3.73,120,5.3,6372,NA,Fair
20/12/2021 00:00,8.58233,23,729,29,3.12,120,4.6,5274,NA,Fair
20/12/2021 01:00,9.13529,20,672,27,3.12,111,4.3,4863,NA,Fair
20/12/2021 02:00,9.732680000000002,17,549,22,2.68,106,3.7,3969,NA,Fair
20/12/2021 03:00,10.513580000000001,13,424,17,2.3,97,3.1,3068,NA,Fair
20/12/2021 04:00,11.230250000000002,10,313,13,1.98,85,2.5,2267,NA,Fair
20/12/2021 05:00,11.99135,9,267,11,1.98,72,2.2,1933,NA,Fair
20/12/2021 06:00,12.990050000000002,5,188,8,1.88,54,1.7,1357,NA,Fair
20/12/2021 07:00,12.41198,1,265,11,2.08,68,2.2,1920,NA,Fair
20/12/2021 08:00,10.3419,358,497,20,2.68,96,3.5,3595,NA,Fair
20/12/2021 09:00,9.5567,357,399,16,1.88,115,3,2886,NA,Fair
20/12/2021 10:00,8.4234,356,588,24,2.3,134,3.9,4251,NA,Fair
20/12/2021 11:00,7.7306,346,585,23,2.08,150,3.9,4231,NA,Fair
20/12/2021 12:00,5.52979,349,715,29,1.98,194,4.5,5172,NA,Fair
20/12/2021 13:00,5.064,5,710,28,1.88,204,4.5,5136,NA,Fair
20/12/2021 14:00,4.6049999999999995,19,700,28,1.79,214,4.5,5065,NA,Fair
20/12/2021 15:00,4.30415,24,614,25,1.62,212,4.1,4439,NA,Fair
20/12/2021 16:00,4.21105,29,678,27,1.7,220,4.4,4902,NA,Fair
20/12/2021 17:00,4.11116,32,626,25,1.62,217,4.1,4531,NA,Fair
20/12/2021 18:00,4.9776,31,574,23,1.62,199,3.9,4152,NA,Fair
20/12/2021 19:00,5.0283,28,526,21,1.54,194,3.6,3803,NA,Fair
20/12/2021 20:00,5.21771,22,427,17,1.39,181,3.1,3091,NA,Fair
20/12/2021 21:00,7.04078,27,257,10,1.26,127,2.2,1861,NA,Fair
20/12/2021 22:00,8.077160000000001,17,191,8,1.26,94,1.7,1378,NA,Fair
20/12/2021 23:00,8.98073,8,83,3,1.2,45,1,600,NA,Fair
21/12/2021 00:00,9.72203,10,49,2,1.2,27,0.7,358,NA,Fair
21/12/2021 01:00,10.60145,87,41,2,1.26,20,0.6,294,NA,Fair
21/12/2021 02:00,11.63444,65,22,1,1.26,11,0.4,157,NA,Fair
21/12/2021 03:00,12.23231,46,16,1,1.26,8,0.3,118,NA,Fair
21/12/2021 04:00,13.08275,36,12,0,1.26,6,0.2,87,NA,Fair
21/12/2021 05:00,14.73485,8,45,2,1.46,18,0.6,323,NA,Fair
21/12/2021 06:00,15.33803,9,49,2,1.54,18,0.7,353,NA,Fair
