Date time,Predicted FMC (%),Heading direction (°),Rate of spread (m/h),Map dist (mm/h),LBR,Flank ROS (m/h),Flame height (m),Fireline Intensity (kW/m),Max Spot dist (m),Reliability
19/12/2021 04:00,6.71723,216,564,23,2.08,144,3.8,4371,671,Good
19/12/2021 05:00,6.771319999999999,132,471,19,1.79,144,3.4,3654,522,Good
19/12/2021 06:00,7.38899,156,521,21,2.08,133,3.6,4038,601,Good
19/12/2021 07:00,7.552700000000001,182,742,30,3.28,116,4.7,5750,776,Good
19/12/2021 08:00,6.8555,180,1201,48,4.07,150,6.6,9304,1306,Good
19/12/2021 09:00,7.085500000000001,148,857,34,3.5,125,5.2,6642,936,Good
19/12/2021 10:00,7.6906,148,1728,69,5.21,167,8.6,13389,1869,Good
19/12/2021 11:00,8.2224,146,1328,53,5.33,126,7.1,10292,1326,Good
19/12/2021 12:00,7.05183,112,3307,132,5.56,300,13.7,25628,4020,Good
19/12/2021 13:00,6.95263,105,2391,96,4.99,242,10.9,18527,2782,Good
19/12/2021 14:00,6.623239999999999,97,3238,130,5.21,313,13.5,25098,4013,Good
19/12/2021 15:00,5.88603,78,3050,122,4.64,332,12.9,23637,3872,Good
19/12/2021 16:00,5.26652,81,3425,137,4.64,373,14.1,26544,4443,Good
19/12/2021 17:00,4.94599,63,3146,126,4.3,371,13.2,24379,4017,Good
19/12/2021 18:00,5.871200000000001,57,3062,122,4.64,334,13,23730,3890,Good
19/12/2021 19:00,5.9297,46,3013,121,4.64,328,12.8,23354,3817,Good
19/12/2021 20:00,6.83504,35,1314,53,4.19,159,7,10187,1395,Good
19/12/2021 21:00,7.0002200000000006,30,1305,52,4.3,154,7,10111,1382,Good
19/12/2021 22:00,7.7444299999999995,30,943,38,4.19,114,5.5,7310,919,Good
19/12/2021 23:00,8.365490000000001,25,752,30,3.73,103,4.7,5825,727,Good
20/12/2021 00:00,8.58233,23,622,25,3.12,102,4.1,4822,614,Fair
20/12/2021 01:00,9.13529,20,574,23,3.12,94,3.9,4446,550,Fair
20/12/2021 02:00,9.732680000000002,17,468,19,2.68,91,3.3,3629,472,Fair
20/12/2021 03:00,10.513580000000001,13,363,15,2.3,83,2.8,2810,334,Fair
20/12/2021 04:00,11.230250000000002,10,273,11,1.98,74,2.3,2115,226,Fair
20/12/2021 05:00,11.99135,9,237,9,1.98,64,2,1834,177,Fair
