Date time,Air temperature (°C),Relative humidity (%),10 m wind speed (km/h),Wind direction (°)
19/12/2021 04:00,23.9,24.2,16,36
19/12/2021 05:00,23.6,24.4,13,312
19/12/2021 06:00,22.7,27.3,16,336
19/12/2021 07:00,23.0,28.2,25,2
19/12/2021 08:00,25.3,26.0,32,0
19/12/2021 09:00,27.7,28.0,27,328
19/12/2021 10:00,28.9,31.9,42,328
19/12/2021 11:00,29.1,35.1,43,326
19/12/2021 12:00,29.1,39.0,45,292
19/12/2021 13:00,29.1,38.2,40,285
19/12/2021 14:00,30.8,35.8,42,277
19/12/2021 15:00,31.1,29.9,37,258
19/12/2021 16:00,32.4,25.1,37,261
19/12/2021 17:00,32.3,22.5,34,243
19/12/2021 18:00,31.4,21.8,37,237
19/12/2021 19:00,30.1,21.8,37,226
19/12/2021 20:00,27.2,25.6,33,215
19/12/2021 21:00,24.6,25.8,34,210
19/12/2021 22:00,21.9,28.9,33,210
19/12/2021 23:00,19.7,31.5,29,205
20/12/2021 00:00,18.9,32.4,24,203
20/12/2021 01:00,17.7,34.9,24,200
20/12/2021 02:00,16.4,37.6,21,197
20/12/2021 03:00,15.4,41.3,18,193
20/12/2021 04:00,14.5,44.7,15,190
20/12/2021 05:00,13.5,48.3,15,189
20/12/2021 06:00,12.5,53.1,14,185
20/12/2021 07:00,13.4,50.4,16,181
20/12/2021 08:00,15.8,44.1,21,178
20/12/2021 09:00,17.1,39.8,14,177
20/12/2021 10:00,19.0,33.6,18,176
20/12/2021 11:00,20.5,29.9,16,166
20/12/2021 12:00,22.3,25.7,15,169
20/12/2021 13:00,24.0,22.2,14,185
20/12/2021 14:00,26.0,18.8,13,199
20/12/2021 15:00,27.5,16.6,11,204
20/12/2021 16:00,28.5,16.0,12,209
20/12/2021 17:00,29.2,15.3,11,212
20/12/2021 18:00,29.1,15.9,11,211
20/12/2021 19:00,29.1,16.2,10,208
20/12/2021 20:00,28.3,17.7,8,202
20/12/2021 21:00,25.4,26.2,6,207
20/12/2021 22:00,22.8,30.8,6,197
20/12/2021 23:00,20.9,34.9,5,188
21/12/2021 00:00,19.9,38.4,5,190
21/12/2021 01:00,18.5,42.5,6,267
21/12/2021 02:00,17.2,47.4,6,245
21/12/2021 03:00,16.3,50.2,6,226
21/12/2021 04:00,15.5,54.3,6,216
21/12/2021 05:00,14.5,62.4,9,188
21/12/2021 06:00,13.9,65.3,10,189
21/12/2021 07:00,15.8,58.6,12,178
21/12/2021 08:00,19.1,48.2,16,183
21/12/2021 09:00,21.8,42.0,10,179
21/12/2021 10:00,24.5,33.1,14,158
21/12/2021 11:00,26.9,27.9,11,153
21/12/2021 12:00,28.0,25.0,11,162
21/12/2021 13:00,29.5,22.0,11,198
21/12/2021 14:00,31.4,18.6,11,208
21/12/2021 15:00,32.4,16.5,9,212
21/12/2021 16:00,33.3,15.6,11,216
21/12/2021 17:00,34.0,14.5,10,218
21/12/2021 18:00,33.5,15.3,12,205
21/12/2021 19:00,33.3,15.4,11,202
21/12/2021 20:00,32.2,17.6,11,206
21/12/2021 21:00,29.1,23.4,9,199
21/12/2021 22:00,26.6,28.0,8,192
21/12/2021 23:00,24.5,31.5,7,185
22/12/2021 00:00,23.6,34.0,7,182
22/12/2021 01:00,22.5,35.6,9,196
22/12/2021 02:00,21.6,37.3,11,179
22/12/2021 03:00,20.6,41.6,11,177
22/12/2021 04:00,20.0,45.0,12,181
22/12/2021 05:00,19.2,49.3,16,184
22/12/2021 06:00,18.3,51.8,17,182
22/12/2021 07:00,19.0,48.9,18,176
22/12/2021 08:00,21.4,43.0,22,179
22/12/2021 09:00,23.5,40.0,15,167
22/12/2021 10:00,25.9,34.2,20,164
22/12/2021 11:00,28.1,30.0,18,165
22/12/2021 12:00,29.8,26.2,17,170
22/12/2021 13:00,31.4,22.5,18,194
22/12/2021 14:00,33.1,18.8,18,198
22/12/2021 15:00,34.0,16.1,17,200
22/12/2021 16:00,34.5,14.9,19,202
22/12/2021 17:00,34.7,13.7,19,203
22/12/2021 18:00,34.0,14.3,21,204
22/12/2021 19:00,33.4,14.5,19,204
22/12/2021 20:00,31.9,16.0,17,204
22/12/2021 21:00,29.2,19.3,15,198
22/12/2021 22:00,26.8,23.5,14,191
22/12/2021 23:00,24.9,26.8,12,185
23/12/2021 00:00,24.1,27.3,12,175
23/12/2021 01:00,23.0,28.2,14,177
23/12/2021 02:00,21.8,30.1,14,180
23/12/2021 03:00,20.4,36.2,14,173
23/12/2021 04:00,19.3,43.6,14,171
23/12/2021 05:00,18.5,49.4,16,168
23/12/2021 06:00,17.3,51.8,17,174
23/12/2021 07:00,17.7,48.5,19,156
23/12/2021 08:00,20.0,41.5,24,157
23/12/2021 09:00,22.1,37.5,17,161
23/12/2021 10:00,24.6,31.3,22,163
23/12/2021 11:00,26.7,28.1,20,159
23/12/2021 12:00,28.6,23.8,20,164
23/12/2021 13:00,30.2,19.9,20,178
23/12/2021 14:00,32.1,16.1,20,176
23/12/2021 15:00,33.0,14.1,18,176
23/12/2021 16:00,33.6,12.8,19,179
23/12/2021 17:00,33.8,11.6,19,177
23/12/2021 18:00,33.2,11.8,21,173
23/12/2021 19:00,32.7,12.0,19,176
23/12/2021 20:00,31.1,14.3,17,170
23/12/2021 21:00,28.5,17.7,14,169
23/12/2021 22:00,26.2,22.0,12,172
23/12/2021 23:00,24.3,25.5,11,169
