Input Lat,-33.51,,,,,,,
Input Lon,143.41,,,,,,,
Input Elev,81,,,,,,,
Grid Lat,-33.510002,,,,,,,
Grid Lon,143.40717,,,,,,,
Grid Elev,81,,,,,,,
Local Date,Local Time,Temp (C),RH (%),Wind Dir,Wind Speed (km/h),Drought Factor,FFDI,GFDI
19/12/2021,4:00,23.9,24.2,36,16,8.7,17,1
19/12/2021,5:00,23.6,24.4,312,13,8.7,15,1
19/12/2021,6:00,22.7,27.3,336,16,8.7,14,1
19/12/2021,7:00,23,28.2,2,25,8.7,17,2
19/12/2021,8:00,25.3,26,0,32,8.7,24,4
19/12/2021,9:00,27.7,28,328,27,8.7,21,3
19/12/2021,10:00,28.9,31.9,328,42,8.7,28,6
19/12/2021,11:00,29.1,35.1,326,43,8.7,26,6
19/12/2021,12:00,29.1,39,292,45,8.7,24,6
19/12/2021,13:00,29.1,38.2,285,40,8.8,22,5
19/12/2021,14:00,30.8,35.8,277,42,8.8,27,6
19/12/2021,15:00,31.1,29.9,258,37,8.8,29,5
19/12/2021,16:00,32.4,25.1,261,37,8.8,36,6
19/12/2021,17:00,32.3,22.5,243,34,8.8,36,5
19/12/2021,18:00,31.4,21.8,237,37,8.8,39,6
19/12/2021,19:00,30.1,21.8,226,37,8.8,38,6
19/12/2021,20:00,27.2,25.6,215,33,8.8,27,4
19/12/2021,21:00,24.6,25.8,210,34,8.8,25,4
19/12/2021,22:00,21.9,28.9,210,33,8.8,20,3
19/12/2021,23:00,19.7,31.5,205,29,8.8,15,2
20/12/2021,0:00,18.9,32.4,203,24,8.8,13,2
20/12/2021,1:00,17.7,34.9,200,24,8.8,11,2
20/12/2021,2:00,16.4,37.6,197,21,8.8,9,1
20/12/2021,3:00,15.4,41.3,193,18,8.8,7,1
20/12/2021,4:00,14.5,44.7,190,15,8.8,6,1
20/12/2021,5:00,13.5,48.3,189,15,8.8,5,1
20/12/2021,6:00,12.5,53.1,185,14,8.8,4,0
20/12/2021,7:00,13.4,50.4,181,16,8.8,5,1
20/12/2021,8:00,15.8,44.1,178,21,8.8,7,1
20/12/2021,9:00,17.1,39.8,177,14,8.8,8,1
20/12/2021,10:00,19,33.6,176,18,8.8,11,1
20/12/2021,11:00,20.5,29.9,166,16,8.8,12,1
20/12/2021,12:00,22.3,25.7,169,15,8.8,14,1
20/12/2021,13:00,24,22.2,185,14,8.8,17,1
20/12/2021,14:00,26,18.8,199,13,8.8,20,1
20/12/2021,15:00,27.5,16.6,204,11,8.8,22,1
20/12/2021,16:00,28.5,16,209,12,8.8,23,1
20/12/2021,17:00,29.2,15.3,212,11,8.8,24,1
20/12/2021,18:00,29.1,15.9,211,11,8.8,24,1
20/12/2021,19:00,29.1,16.2,208,10,8.8,23,1
20/12/2021,20:00,28.3,17.7,202,8,8.8,20,1
20/12/2021,21:00,25.4,26.2,207,6,8.8,13,1
20/12/2021,22:00,22.8,30.8,197,6,8.8,10,0
20/12/2021,23:00,20.9,34.9,188,5,8.8,8,0
21/12/2021,0:00,19.9,38.4,190,5,8.8,7,0
21/12/2021,1:00,18.5,42.5,267,6,8.8,6,0
21/12/2021,2:00,17.2,47.4,245,6,8.8,5,0
21/12/2021,3:00,16.3,50.2,226,6,8.8,4,0
21/12/2021,4:00,15.5,54.3,216,6,8.8,4,0
21/12/2021,5:00,14.5,62.4,188,9,8.8,3,0
21/12/2021,6:00,13.9,65.3,189,10,8.8,3,0
21/12/2021,7:00,15.8,58.6,178,12,8.8,4,0
21/12/2021,8:00,19.1,48.2,183,16,8.8,6,1
21/12/2021,9:00,21.8,42,179,10,8.8,7,1
